Rewards,Mean Reward
3.0,3.0
2.0,2.5
3.0,2.6666666666666665
0.0,2.0
2.0,2.0
2.0,2.0
0.0,1.7142857142857142
2.0,1.75
0.0,1.5555555555555556
0.0,1.4
0.0,1.2727272727272727
0.0,1.1666666666666667
0.0,1.0769230769230769
0.0,1.0
0.0,0.9333333333333333
0.0,0.875
0.0,0.8235294117647058
0.0,0.7777777777777778
0.0,0.7368421052631579
0.0,0.7
0.0,0.6666666666666666
0.0,0.6363636363636364
0.0,0.6086956521739131
0.0,0.5833333333333334
0.0,0.56
0.0,0.5384615384615384
0.0,0.5185185185185185
0.0,0.5
0.0,0.4827586206896552
0.0,0.4666666666666667
0.0,0.45161290322580644
0.0,0.4375
0.0,0.42424242424242425
0.0,0.4117647058823529
0.0,0.4
0.0,0.3888888888888889
0.0,0.3783783783783784
0.0,0.3684210526315789
0.0,0.358974358974359
0.0,0.35
0.0,0.34146341463414637
0.0,0.3333333333333333
0.0,0.32558139534883723
0.0,0.3181818181818182
0.0,0.3111111111111111
0.0,0.30434782608695654
0.0,0.2978723404255319
0.0,0.2916666666666667
0.0,0.2857142857142857
0.0,0.28
0.0,0.27450980392156865
0.0,0.2692307692307692
0.0,0.2641509433962264
0.0,0.25925925925925924
0.0,0.2545454545454545
0.0,0.25
0.0,0.24561403508771928
0.0,0.2413793103448276
0.0,0.23728813559322035
0.0,0.23333333333333334
0.0,0.22950819672131148
0.0,0.22580645161290322
0.0,0.2222222222222222
0.0,0.21875
0.0,0.2153846153846154
0.0,0.21212121212121213
0.0,0.208955223880597
0.0,0.20588235294117646
0.0,0.2028985507246377
0.0,0.2
0.0,0.19718309859154928
0.0,0.19444444444444445
0.0,0.1917808219178082
0.0,0.1891891891891892
0.0,0.18666666666666668
0.0,0.18421052631578946
0.0,0.18181818181818182
0.0,0.1794871794871795
0.0,0.17721518987341772
0.0,0.175
0.0,0.1728395061728395
0.0,0.17073170731707318
0.0,0.1686746987951807
0.0,0.16666666666666666
0.0,0.16470588235294117
0.0,0.16279069767441862
0.0,0.16091954022988506
0.0,0.1590909090909091
0.0,0.15730337078651685
0.0,0.15555555555555556
0.0,0.15384615384615385
