Rewards,Mean Reward,Epsilon
-20.0,-20.0,0.9995599000000145
-20.0,-20.0,0.9993529000000213
-20.0,-20.0,0.9990442000000315
-21.0,-20.25,0.9988336000000384
-21.0,-20.4,0.9985681000000471
-21.0,-20.5,0.9982792000000567
-20.0,-20.428571428571427,0.9980299000000649
-20.0,-20.375,0.9977464000000742
-21.0,-20.444444444444443,0.9974827000000829
-21.0,-20.5,0.9972496000000906
-20.0,-20.454545454545453,0.9969895000000991
-20.0,-20.416666666666668,0.9967069000001084
-18.0,-20.23076923076923,0.9964261000001177
-21.0,-20.285714285714285,0.9961930000001253
-20.0,-20.266666666666666,0.9959275000001341
-16.0,-20.0,0.9955765000001456
-21.0,-20.058823529411764,0.9953272000001538
-19.0,-20.0,0.9950770000001621
-19.0,-19.94736842105263,0.9946972000001746
-20.0,-19.95,0.9944677000001821
-19.0,-19.904761904761905,0.9941590000001923
-21.0,-19.954545454545453,0.9938233000002034
-19.0,-19.91304347826087,0.9935146000002135
-21.0,-19.958333333333332,0.993258100000222
-20.0,-19.96,0.9929863000002309
-18.0,-19.884615384615383,0.9927082000002401
-20.0,-19.88888888888889,0.9925066000002467
-21.0,-19.928571428571427,0.9922447000002553
-19.0,-19.896551724137932,0.992011600000263
-19.0,-19.866666666666667,0.9917362000002721
-19.0,-19.838709677419356,0.9914527000002814
-20.0,-19.84375,0.9911548000002912
-21.0,-19.87878787878788,0.9908821000003002
-21.0,-19.91176470588235,0.9906247000003087
-21.0,-19.942857142857143,0.9903574000003175
-21.0,-19.97222222222222,0.990128800000325
-21.0,-20.0,0.9898696000003335
-20.0,-20.0,0.9896194000003418
-20.0,-20.0,0.9893674000003501
-21.0,-20.025,0.9890803000003595
-20.0,-20.024390243902438,0.9888130000003683
-21.0,-20.047619047619047,0.988580800000376
-20.0,-20.046511627906977,0.9883216000003845
-18.0,-20.0,0.9880552000003933
-19.0,-19.977777777777778,0.9878131000004012
-19.0,-19.956521739130434,0.9875368000004103
-21.0,-19.97872340425532,0.9872902000004184
-19.0,-19.958333333333332,0.987061600000426
-18.0,-19.918367346938776,0.9867709000004355
-19.0,-19.9,0.9865225000004437
-20.0,-19.901960784313726,0.986269600000452
-20.0,-19.903846153846153,0.9859627000004622
-21.0,-19.92452830188679,0.9856882000004712
-19.0,-19.90740740740741,0.9854623000004786
-20.0,-19.90909090909091,0.9851932000004875
-20.0,-19.910714285714285,0.9849547000004953
-18.0,-19.87719298245614,0.984630700000506
-21.0,-19.896551724137932,0.9844219000005129
-19.0,-19.88135593220339,0.9841357000005223
-20.0,-19.883333333333333,0.9838918000005303
-21.0,-19.901639344262296,0.9836443000005385
-19.0,-19.887096774193548,0.9834184000005459
-21.0,-19.904761904761905,0.9831871000005535
-21.0,-19.921875,0.9829558000005612
-17.0,-19.876923076923077,0.9826093000005726
-21.0,-19.893939393939394,0.982354600000581
-20.0,-19.895522388059703,0.9820864000005898
-20.0,-19.897058823529413,0.9818092000005989
-19.0,-19.884057971014492,0.9815509000006074
-19.0,-19.87142857142857,0.9813025000006156
-20.0,-19.87323943661972,0.9810802000006229
-21.0,-19.88888888888889,0.980834500000631
