Rewards,Mean Reward,Epsilon
-20.0,-20.0,0.9953072715582952
-20.0,-20.0,0.9893953936677339
-21.0,-20.333333333333332,0.984367621158428
-21.0,-20.5,0.9791548879197647
-19.0,-20.2,0.9728834247445128
-20.0,-20.166666666666668,0.9684533181504332
-20.0,-20.142857142857142,0.9618373279045124
-19.0,-20.0,0.9565028561237695
-21.0,-20.11111111111111,0.9513289751839308
-21.0,-20.2,0.9462763012924763
-20.0,-20.181818181818183,0.9402750305933066
-21.0,-20.25,0.9354837111569825
-18.0,-20.076923076923077,0.9294614141045417
-20.0,-20.071428571428573,0.9248530652374168
-20.0,-20.066666666666666,0.9206102342938601
-21.0,-20.125,0.9156883883847978
-19.0,-20.058823529411764,0.9098674968197189
-19.0,-20.0,0.904809680558222
-20.0,-20.0,0.8997454213204216
-20.0,-20.0,0.8947626318458178
-21.0,-20.047619047619047,0.8899472448134627
-19.0,-20.0,0.8837233939581205
-21.0,-20.043478260869566,0.8785737408711097
-20.0,-20.041666666666668,0.8732329214146579
-21.0,-20.08,0.8682306329773306
-21.0,-20.115384615384617,0.8638650358381693
-21.0,-20.14814814814815,0.8594883269570812
-20.0,-20.142857142857142,0.8552345400228588
-20.0,-20.137931034482758,0.8505702986637474
-20.0,-20.133333333333333,0.8458990674338454
-21.0,-20.161290322580644,0.841106295356675
-21.0,-20.1875,0.835672210682163
-21.0,-20.21212121212121,0.8316851930204463
-19.0,-20.176470588235293,0.8263457104213959
-21.0,-20.2,0.8216183098224578
-21.0,-20.22222222222222,0.81574005756566
-19.0,-20.18918918918919,0.8112172415088156
-20.0,-20.18421052631579,0.8071608188245104
-19.0,-20.153846153846153,0.8025928485464633
-19.0,-20.125,0.7963570820813378
-20.0,-20.121951219512194,0.7910957626827417
-21.0,-20.142857142857142,0.7870351066214903
-20.0,-20.13953488372093,0.7817912527732224
-20.0,-20.136363636363637,0.7770524757167077
-19.0,-20.11111111111111,0.7715761777581164
-19.0,-20.08695652173913,0.7674538555581786
-21.0,-20.106382978723403,0.7634284830256527
-21.0,-20.125,0.7593656373033529
-21.0,-20.142857142857142,0.7555162044373132
-21.0,-20.16,0.7508385486417445
-19.0,-20.137254901960784,0.7460163764504102
-21.0,-20.153846153846153,0.7418898548637161
-20.0,-20.150943396226417,0.7383899817495434
-21.0,-20.166666666666668,0.734907076752782
-21.0,-20.181818181818183,0.7308294813144036
-19.0,-20.160714285714285,0.7257157751526483
-21.0,-20.17543859649123,0.7213538732153245
-20.0,-20.17241379310345,0.7171025786977552
-20.0,-20.16949152542373,0.7134593148728697
-21.0,-20.183333333333334,0.7095730042849299
-18.0,-20.147540983606557,0.7047354584757052
-18.0,-20.112903225806452,0.6994968322282723
-21.0,-20.126984126984127,0.6946759973208381
-20.0,-20.125,0.6901439711835544
-20.0,-20.123076923076923,0.6858421108671438
-19.0,-20.106060606060606,0.6815149422032626
-20.0,-20.104477611940297,0.6770976066889771
-17.0,-20.058823529411764,0.6728925527203621
-20.0,-20.057971014492754,0.6686625136479174
-20.0,-20.057142857142857,0.6643954378972918
-18.0,-20.028169014084508,0.6588135141637658
-21.0,-20.041666666666668,0.6548905181492702
-20.0,-20.041095890410958,0.6510925802478856
-21.0,-20.054054054054053,0.6472420881806427
-20.0,-20.053333333333335,0.6443009674141061
-19.0,-20.039473684210527,0.6402437659560807
-20.0,-20.038961038961038,0.6364471368121912
-20.0,-20.03846153846154,0.6323552400221996
-21.0,-20.050632911392405,0.6287529812190841
-19.0,-20.0375,0.6243252652820859
-19.0,-20.02469135802469,0.6205299838003614
-21.0,-20.036585365853657,0.6162455457083952
-20.0,-20.03614457831325,0.6122048300011952
-17.0,-20.0,0.6071102206747812
-20.0,-20.0,0.6032363875489181
-21.0,-20.011627906976745,0.600327483930433
-21.0,-20.022988505747126,0.596890556456077
-20.0,-20.022727272727273,0.5931643914634053
-19.0,-20.01123595505618,0.5888248532212278
-20.0,-20.011111111111113,0.5843601275000341
-21.0,-20.021978021978022,0.5812646671179703
-18.0,-20.0,0.5765586587194166
-19.0,-19.989247311827956,0.5723448456851464
-20.0,-19.98936170212766,0.5686126141932071
-19.0,-19.978947368421053,0.5643065350272057
-21.0,-19.989583333333332,0.5612019891128086
-21.0,-20.0,0.5575988078494942
-19.0,-19.989795918367346,0.5527181961397521
-18.0,-19.96969696969697,0.5486320180044024
-19.0,-19.96,0.5446296429574938
-21.0,-19.97029702970297,0.5416581934908172
-20.0,-19.970588235294116,0.5381022267176966
-19.0,-19.961165048543688,0.5346631307891199
-19.0,-19.951923076923077,0.5305826740312677
-19.0,-19.942857142857143,0.5265041776170114
-19.0,-19.933962264150942,0.5235850279399572
-19.0,-19.925233644859812,0.5196123869427888
-21.0,-19.935185185185187,0.5169416285753488
-19.0,-19.926605504587155,0.5134258388352755
-19.0,-19.918181818181818,0.5095920883563234
-20.0,-19.91891891891892,0.5056909769011989
-21.0,-19.928571428571427,0.5023801864307036
-21.0,-19.938053097345133,0.49971518905668616
-20.0,-19.93859649122807,0.4964832506381606
-19.0,-19.930434782608696,0.49404989111103537
-20.0,-19.93103448275862,0.49058310358509144
-21.0,-19.94017094017094,0.48704825012841524
-19.0,-19.93220338983051,0.4844400895931841
-16.0,-19.899159663865547,0.4804354037348606
-19.0,-19.891666666666666,0.47711388980106356
-19.0,-19.884297520661157,0.4742794656040259
-19.0,-19.87704918032787,0.4705155400926325
-19.0,-19.869918699186993,0.46694367129124836
-18.0,-19.85483870967742,0.4639236426657489
-21.0,-19.864,0.46088874806726915
-19.0,-19.857142857142858,0.45764696599583915
-17.0,-19.834645669291337,0.4542900251659351
-21.0,-19.84375,0.45145040673255116
-19.0,-19.837209302325583,0.44798689316413964
-19.0,-19.83076923076923,0.44456816570255764
-19.0,-19.82442748091603,0.4404109022323911
-18.0,-19.810606060606062,0.43709439857719495
-20.0,-19.81203007518797,0.4342677780685022
-19.0,-19.80597014925373,0.43160846575432427
-20.0,-19.807407407407407,0.4279858823265225
-19.0,-19.801470588235293,0.4248321641320258
-20.0,-19.802919708029197,0.4224104435740649
-19.0,-19.797101449275363,0.4185259326073404
-19.0,-19.79136690647482,0.4157855687998703
-19.0,-19.785714285714285,0.4119571692347301
-20.0,-19.78723404255319,0.4099086853828341
-17.0,-19.767605633802816,0.40616030132554626
-21.0,-19.776223776223777,0.4037351387106523
-21.0,-19.78472222222222,0.4004643847219961
-17.0,-19.76551724137931,0.3972969607454204
-16.0,-19.73972602739726,0.39331873480837104
-20.0,-19.741496598639454,0.3901737802272008
-20.0,-19.743243243243242,0.38715076652445346
-20.0,-19.74496644295302,0.38434913559825806
-19.0,-19.74,0.3813592340326214
-19.0,-19.735099337748345,0.3783651976679258
-19.0,-19.730263157894736,0.37456531402404425
-18.0,-19.718954248366014,0.37088992548119987
-17.0,-19.7012987012987,0.36736377427261585
-19.0,-19.696774193548386,0.36466487621909743
-19.0,-19.692307692307693,0.36163146613981617
-20.0,-19.694267515923567,0.3588889835742474
-16.0,-19.670886075949365,0.3555371134699617
-19.0,-19.666666666666668,0.3526705203067272
-17.0,-19.65,0.3497294836154277
-19.0,-19.645962732919255,0.34691250675801244
-17.0,-19.62962962962963,0.34328444541970554
-18.0,-19.619631901840492,0.34026621495229487
-19.0,-19.615853658536587,0.33671191388269894
-18.0,-19.606060606060606,0.3342700259661089
-18.0,-19.596385542168676,0.3314106850225463
-19.0,-19.592814371257486,0.3286205632386675
-18.0,-19.583333333333332,0.3256780951689544
-15.0,-19.556213017751478,0.3218869385645097
-19.0,-19.55294117647059,0.31927789954801916
-19.0,-19.549707602339183,0.31683385504895223
-18.0,-19.540697674418606,0.3140449279043268
-19.0,-19.53757225433526,0.31199964066395114
-16.0,-19.517241379310345,0.3095050010548244
-19.0,-19.514285714285716,0.3072786273066974
-19.0,-19.511363636363637,0.3044998059990131
-18.0,-19.502824858757062,0.30170842204946674
-19.0,-19.5,0.29932963494276366
-21.0,-19.508379888268156,0.297131624399835
-18.0,-19.5,0.29397382473611716
-14.0,-19.46961325966851,0.2907545177135781
-18.0,-19.46153846153846,0.2882428083551633
-17.0,-19.44808743169399,0.2859990059287138
-18.0,-19.440217391304348,0.28386894822718955
-19.0,-19.437837837837836,0.2816041730978245
-18.0,-19.43010752688172,0.2790633358237602
-20.0,-19.433155080213904,0.2766652153452527
-21.0,-19.44148936170213,0.27444700224800533
-19.0,-19.43915343915344,0.27177417924767155
-19.0,-19.436842105263157,0.2691643133155285
-20.0,-19.43979057591623,0.2673668782534778
-20.0,-19.442708333333332,0.26531241749844936
-16.0,-19.424870466321245,0.26296382687539244
-20.0,-19.427835051546392,0.26086402717247054
-20.0,-19.43076923076923,0.25885879744428425
-17.0,-19.418367346938776,0.25661931210858796
-20.0,-19.421319796954315,0.25427896693127217
-16.0,-19.404040404040405,0.2520267279391071
-20.0,-19.407035175879397,0.25004905566121355
-15.0,-19.385,0.24769171155092057
-17.0,-19.37313432835821,0.24555241515952395
-19.0,-19.371287128712872,0.24386262258081665
-15.0,-19.34975369458128,0.2417371278914289
-20.0,-19.352941176470587,0.2400011055714742
-19.0,-19.351219512195122,0.23807358935269649
-18.0,-19.344660194174757,0.2360462643736821
-19.0,-19.342995169082126,0.23450060774297002
-18.0,-19.33653846153846,0.23291916181227396
-18.0,-19.330143540669855,0.23080058075425403
-20.0,-19.333333333333332,0.228736475094308
-18.0,-19.327014218009477,0.22655207745354916
-17.0,-19.316037735849058,0.22428019812823946
-17.0,-19.305164319248828,0.22173451920978288
-19.0,-19.30373831775701,0.21998704144314477
-17.0,-19.293023255813953,0.2181437092392425
-15.0,-19.27314814814815,0.21614468421265817
-18.0,-19.267281105990783,0.214181360764346
-19.0,-19.26605504587156,0.2121339090055032
-19.0,-19.264840182648403,0.21059915763458614
-21.0,-19.272727272727273,0.20906532148382537
-17.0,-19.262443438914026,0.2070643306122533
-17.0,-19.25225225225225,0.2048958274589879
-19.0,-19.251121076233183,0.20325022556217104
-20.0,-19.254464285714285,0.2018155245504919
-20.0,-19.25777777777778,0.200395663964222
-20.0,-19.261061946902654,0.1986149857441556
-17.0,-19.251101321585903,0.19650206423097932
-19.0,-19.25,0.1947842876620821
-14.0,-19.22707423580786,0.19248194626563928
-20.0,-19.230434782608697,0.19095708697817892
-18.0,-19.225108225108226,0.18957792770923992
-17.0,-19.21551724137931,0.18774627528895385
-15.0,-19.197424892703864,0.18613697050686945
-18.0,-19.192307692307693,0.18443454226694206
-18.0,-19.187234042553193,0.18301668730396264
-20.0,-19.190677966101696,0.18177274984208538
-20.0,-19.19409282700422,0.1803457741156922
-16.0,-19.180672268907564,0.17873760748904968
-17.0,-19.171548117154813,0.17729021020439437
-17.0,-19.1625,0.17553216695364096
-18.0,-19.157676348547717,0.17401231575708656
-16.0,-19.144628099173552,0.17234269746560263
-19.0,-19.144032921810698,0.17077257440070007
-19.0,-19.14344262295082,0.16925146555143733
